Close,Date
1044.900024,26-10-2018
1087.800049,29-10-2018
1057,30-10-2018
1061.25,31-10-2018
1056.25,01-11-2018
1074.900024,02-11-2018
1090.300049,05-11-2018
1104.099976,06-11-2018
1110.699951,07-11-2018
1093.449951,09-11-2018
1080,12-11-2018
1099.449951,13-11-2018
1097.949951,14-11-2018
1096.849976,15-11-2018
1127.400024,16-11-2018
1150,19-11-2018
1137.400024,20-11-2018
1112.900024,21-11-2018
1102.849976,22-11-2018
1109.75,26-11-2018
1128.199951,27-11-2018
1152.650024,28-11-2018
1168.5,29-11-2018
1167.550049,30-11-2018
1156.449951,03-12-2018
1152.300049,04-12-2018
1155.150024,05-12-2018
1123.650024,06-12-2018
1133.800049,07-12-2018
1090.25,10-12-2018
1097.550049,11-12-2018
1110.5,12-12-2018
1107.050049,13-12-2018
1112.199951,14-12-2018
1129.900024,17-12-2018
1136.400024,18-12-2018
1136.800049,19-12-2018
1128.449951,20-12-2018
1100.199951,21-12-2018
1089.150024,24-12-2018
1098.349976,26-12-2018
1120.199951,27-12-2018
1125.550049,28-12-2018
1121.25,31-12-2018
1121,01-01-2019
1106.400024,02-01-2019
1092.75,03-01-2019
1098.650024,04-01-2019
1104.75,07-01-2019
1104.650024,08-01-2019
1110.75,09-01-2019
1107.5,10-01-2019
1098.050049,11-01-2019
1096.800049,14-01-2019
1129.650024,15-01-2019
1135.900024,16-01-2019
1134.449951,17-01-2019
1184.349976,18-01-2019
1237.699951,21-01-2019
1235.150024,22-01-2019
1226.300049,23-01-2019
1247.449951,24-01-2019
1246,25-01-2019
1229.550049,28-01-2019
1210.650024,29-01-2019
1195.699951,30-01-2019
1227.150024,31-01-2019
1249.949951,01-02-2019
1290.900024,04-02-2019
1291.550049,05-02-2019
1310.25,06-02-2019
1290.400024,07-02-2019
1277.699951,08-02-2019
1253.25,11-02-2019
1256.400024,12-02-2019
1224.199951,14-02-2019
1244.449951,15-02-2019
1220.099976,18-02-2019
1216.099976,19-02-2019
1234.349976,20-02-2019
1246.900024,21-02-2019
1232.349976,22-02-2019
1232.300049,25-02-2019
1220.25,26-02-2019
1223.5,27-02-2019
1231.050049,28-02-2019
1226.050049,01-03-2019
1237.650024,05-03-2019
1264.800049,06-03-2019
1270.25,07-03-2019
1267.099976,08-03-2019
1304.099976,11-03-2019
1331.349976,12-03-2019
1347.300049,13-03-2019
1341.550049,14-03-2019
1321.650024,15-03-2019
1350.050049,18-03-2019
1376.550049,19-03-2019
1375.449951,20-03-2019
1341.75,22-03-2019
1324.449951,25-03-2019
1367.25,26-03-2019
1349.25,27-03-2019
1360,28-03-2019
1391.849976,01-04-2019
1389.699951,02-04-2019
1375.199951,03-04-2019
1353.050049,04-04-2019
1353.900024,05-04-2019
1329.25,08-04-2019
1334.449951,09-04-2019
1331.400024,10-04-2019
1346.800049,11-04-2019
1343.099976,12-04-2019
1340.150024,15-04-2019
1343.75,16-04-2019
1385.949951,18-04-2019
1345.349976,22-04-2019
1363.849976,23-04-2019
1389.5,24-04-2019
1372.400024,25-04-2019
1392.800049,26-04-2019
1392.800049,30-04-2019
1405.050049,02-05-2019
1408.849976,03-05-2019
1384.900024,06-05-2019
1343.5,07-05-2019
1299.449951,08-05-2019
1256.449951,09-05-2019
1251.150024,10-05-2019
1232.050049,13-05-2019
1260.449951,14-05-2019
1256.900024,15-05-2019
1265.349976,16-05-2019
1267.400024,17-05-2019
1325.900024,20-05-2019
1339.800049,21-05-2019
1340.400024,22-05-2019
1333.900024,23-05-2019
1336.849976,24-05-2019
1310.650024,27-05-2019
1323.75,28-05-2019
1313.050049,29-05-2019
1329.75,30-05-2019
1330.150024,31-05-2019
1360.199951,03-06-2019
1351.650024,04-06-2019
1327.349976,06-06-2019
1314.900024,07-06-2019
1319.150024,10-06-2019
1329.150024,11-06-2019
1332.150024,12-06-2019
1327.25,13-06-2019
1317.550049,14-06-2019
1282.300049,17-06-2019
1281,18-06-2019
1277.349976,19-06-2019
1296.75,20-06-2019
1279.5,21-06-2019
1262.400024,24-06-2019
1295.849976,25-06-2019
1294.150024,26-06-2019
1274.150024,27-06-2019
1253.099976,28-06-2019
1268.849976,01-07-2019
1278.5,02-07-2019
1282.550049,03-07-2019
1284,04-07-2019
1263.349976,05-07-2019
1252.050049,08-07-2019
1280.099976,09-07-2019
1278.849976,10-07-2019
1281.550049,11-07-2019
1280.5,12-07-2019
1276.099976,15-07-2019
1293,16-07-2019
1281.849976,17-07-2019
1261.849976,18-07-2019
